condition,passed_days,failed_days,passed_average_1_day_return,failed_average_1_day_return,excess_1_day_return,passed_average_5_day_return,failed_average_5_day_return,excess_5_day_return,passed_average_10_day_return,failed_average_10_day_return,excess_10_day_return,passed_win_rate_1_day,failed_win_rate_1_day,excess_win_rate_1_day,passed_win_rate_5_day,failed_win_rate_5_day,excess_win_rate_5_day,passed_win_rate_10_day,failed_win_rate_10_day,excess_win_rate_10_day
Price range,17729,639,0.05537777674598553,-0.04351658881406112,0.09889436556004665,0.5531700389860154,0.13401496707300847,0.4191550719130069,1.1623844044852034,0.6684867143978116,0.4938976900873918,51.00682497602798,47.417840375586856,3.58898460044112,52.73845112527498,51.01721439749609,1.7212367277788854,53.5676011055333,49.60876369327074,3.958837412262567
Above 20-day MA,9925,8443,0.07794274440372757,0.021367258731540485,0.05657548567218709,0.586399121926901,0.48238492242309916,0.10401419950380186,1.2381418106421622,1.035949146866625,0.20219266377553713,51.012594458438286,50.72841407082791,0.28418038761037767,52.977329974811084,52.3273717872794,0.6499581875316851,53.56171284634761,53.27490228591733,0.28681056043028397
Relative volume,7150,11218,0.04759135734710645,0.05470737195984857,-0.007116014612742125,0.58157983467278,0.5111866078830755,0.0703932267897045,1.34442498181191,1.0182240593388499,0.3262009224730602,50.02797202797203,51.42627919415226,-1.3983071661802349,53.32867132867133,52.26421822071671,1.0644531079546216,54.769230769230774,52.576216794437514,2.1930139747932564
Daily change,6127,12241,0.024208154150585404,0.0658166933417822,-0.041608539191196794,0.39338638459742353,0.6112661389358961,-0.21787975433847256,1.090723567713707,1.1724706166356091,-0.0817470489219021,50.28562102170719,51.18045911281758,-0.8948380911103837,52.244165170556556,52.89600522833102,-0.6518400577744665,53.09286763505794,53.59856220896986,-0.505694573911919
RSI,15328,3040,0.03999227608688569,0.11216575520316073,-0.07217347911627503,0.428876836332536,1.0917641571834233,-0.6628873208508874,0.8706239777076016,2.529655193196137,-1.6590312154885352,50.82854906054279,51.151315789473685,-0.32276672893089,52.205114822546975,55.06578947368421,-2.8606746511372405,52.64222338204593,57.401315789473685,-4.759092407427756
