threshold,signals,actual_big_move_rate,average_absolute_return,median_absolute_return,average_signed_return
0.5,2026,74.13622902270484,5.473473756215543,4.163749021282448,0.44261539318799653
0.55,1638,75.94627594627595,5.768203467607991,4.459718080051777,0.5307056482580584
0.6,1195,76.31799163179916,5.849912277587753,4.492194937645266,0.4847415377232382
0.65,722,78.67036011080333,6.3697989042863234,5.003812115451534,0.7524245591969033
0.7,317,82.01892744479495,7.1920054639804105,5.708007943866578,1.0745070578264655
0.75,91,84.61538461538461,7.890913933550428,6.818186629627276,2.5445322888525648
0.8,3,100.0,11.022843789880703,10.458637840010287,-4.771297633291941
