date,symbol,Close,entry_next_open,exit_1_day_close,exit_5_day_close,exit_10_day_close,daily_change,Volume,average_volume,relative_volume,rsi,moving_average_20,above_20_day_ma,condition_price,condition_average_volume,condition_daily_change,condition_relative_volume,condition_rsi,condition_above_ma,score,return_1_day,return_5_day,return_10_day
2021-08-16,AAPL,147.52520751953125,146.65636676617194,146.61732482910156,146.1487579345703,149.47763061523438,1.3547885994926734,103296000,71469570.0,1.4453144184301094,68.84818272899471,143.30741348266602,True,True,True,True,True,True,True,6,-0.026621372076285343,-0.34612123755319857,1.9237240845879189
2021-08-30,AAPL,149.47763061523438,149.02859613337498,148.2183380126953,152.9627227783203,144.59654235839844,3.0417198293045455,90956700,65610485.0,1.3863134832793875,67.58646907875979,144.5721534729004,True,True,True,True,True,True,True,6,-0.5436930506642623,2.639846812637514,-2.973961971036765
2021-09-07,AAPL,152.9627227783203,153.24580029178898,151.4202880859375,144.59654235839844,140.01809692382812,1.5489495280326837,82278300,70979545.0,1.1591832548377141,65.41750331445995,146.3313003540039,True,True,True,True,True,True,True,6,-1.1912314741256202,-5.6440423926279575,-8.631690619106392
2021-10-18,AAPL,143.06394958496094,143.51298745891924,145.2213592529297,145.10418701171875,145.41656494140625,1.180626383150285,85589200,76728660.0,1.1154788836400897,62.15942110907127,139.8965934753418,True,True,True,True,True,True,True,6,1.1903952556903352,1.1087495152694693,1.32641478391069
2021-11-17,AAPL,150.05755615234375,150.27256539420105,154.3395233154297,158.31854248046875,160.0978240966797,1.649023451530729,88807000,66310530.0,1.3392593906277028,53.36575603511069,146.60535049438477,True,True,True,True,True,True,True,6,2.706387496985907,5.35425549245212,6.538291721249734
2021-11-29,AAPL,156.6565704345703,156.41215841772612,161.60340881347656,161.6229705810547,171.8099365234375,2.1873446346803105,88748200,75849045.0,1.1700635123355871,68.88973125509557,150.22340621948243,True,True,True,True,True,True,True,6,3.3189557949109716,3.331462346688019,9.84436137284732
2021-12-15,AAPL,175.29034423828125,175.27077720416733,168.4077606201172,171.71214294433594,174.2149200439453,2.85092382337202,131063300,118319650.0,1.107705271271509,68.94372256622427,162.48132858276367,True,True,True,True,True,True,True,6,-3.9156650603857535,-2.03036371299139,-0.6024148332451795
2022-01-28,AAPL,166.52093505859375,166.35473547583268,170.8714141845703,168.7495880126953,165.0787811279297,6.97775135411729,179935700,102848335.0,1.749524676310997,47.172718189871965,166.19928512573242,True,True,True,True,True,True,True,6,2.71508875044546,1.4396058699576608,-0.7670081313004506
2022-03-18,AAPL,160.51719665527344,160.05709828830467,161.8876190185547,171.03036499023438,170.6290283203125,2.091904554913704,123511700,97009780.0,1.2731881259807,48.75002307428827,157.91335678100586,True,True,True,True,True,True,True,6,1.1436673223656602,6.855845082336787,6.605099145909188
2022-03-29,AAPL,175.18084716796875,174.77947258625517,174.0159454345703,171.3632049560547,164.1194610595703,1.9134495033332977,100589400,95082160.0,1.0579208549742665,69.68283249580405,160.85783843994142,True,True,True,True,True,True,True,6,-0.4368517311482578,-1.9546160539616664,-6.099121006000319
2022-05-04,AAPL,162.51412963867188,160.38991736716943,153.4594268798828,143.61697387695312,138.04881286621094,4.100832658014575,108256500,88972620.0,1.216739486821901,44.79816085076573,161.12751312255858,True,True,True,True,True,True,True,6,-4.32102628460187,-10.457604670884123,-13.92924497230993
2022-06-24,AAPL,138.8722686767578,139.89179587794544,138.8722686767578,136.1959686279297,142.0190887451172,2.4517247908387496,89116800,86595000.0,1.0291217737744673,45.54172695099229,138.3713108062744,True,True,True,True,True,True,True,6,-0.7287969925535598,-2.6419185105324816,1.5206702107304348
2022-07-27,AAPL,153.70449829101562,153.89075014754778,154.25347900390625,162.86070251464844,166.13999938964844,3.423468858155476,78620700,71458335.0,1.1002313446010181,67.86448825394763,144.57282333374025,True,True,True,True,True,True,True,6,0.2357054312950524,5.828779415592189,7.959704680337376
2022-10-28,AAPL,152.88726806640625,150.35452378899333,150.53121948242188,136.07057189941406,147.20169067382812,7.555248406764048,164762400,88509825.0,1.8615153741406674,67.1288007627159,141.94835510253907,True,True,True,True,True,True,True,6,0.11751937286337277,-9.500180991976858,-2.0969326600308147
2022-11-10,AAPL,144.4188995361328,143.38645323831483,147.20169067382812,148.20465087890625,145.63821411132812,8.897452979003218,118854000,93819040.0,1.2668430629859355,49.86626075165181,142.2624366760254,True,True,True,True,True,True,True,6,2.660807453806102,3.3602879015239617,1.570413956240868
2022-11-30,AAPL,145.5595703125,145.73654727553216,145.83486938476562,138.58786010742188,140.81997680664062,4.859422807718539,111380900,82223420.0,1.3546128341535781,64.66777497127194,143.1499267578125,True,True,True,True,True,True,True,6,0.06746565022401896,-4.905212386152424,-3.3736015850548307
2023-01-20,AAPL,135.56907653808594,135.81492969380113,138.75503540039062,143.4945831298828,151.9215850830078,1.9220596925103806,80223600,75494310.0,1.06264432379076,68.53664711517735,129.20953483581542,True,True,True,True,True,True,True,6,2.1647882992083867,5.6544987015755055,11.8592671847783
2023-03-03,AAPL,148.73623657226562,151.45432771735832,151.4937286376953,146.24464416503906,152.64593505859375,3.50902063675671,70732300,64482285.0,1.0969260782244301,50.039067744436466,148.37360687255858,True,True,True,True,True,True,True,6,0.026015050828065434,-3.4397719965067575,0.7867766865395698
2023-03-13,AAPL,148.18472290039062,148.98238986483992,150.27249145507812,155.00949096679688,155.8760986328125,1.3265981441085595,84457100,60116875.0,1.4048817407757805,53.858095524181444,148.09511108398436,True,True,True,True,True,True,True,6,0.8659423381572884,4.045512430982523,4.627197062838562
2023-03-20,AAPL,155.00949096679688,154.93070734117964,156.86093139648438,155.8760986328125,163.64630126953125,1.5483909920666283,73641400,64257800.0,1.1460305208083688,67.17086792959327,148.3506652832031,True,True,True,True,True,True,True,6,1.2458628043658937,0.6102026563081342,5.625478691682861
