symbol,signals,average_score,signal_average_1_day_return,signal_average_5_day_return,signal_average_10_day_return,signal_win_rate_1_day,signal_win_rate_5_day,signal_win_rate_10_day,baseline_days,baseline_average_1_day_return,baseline_average_5_day_return,baseline_average_10_day_return,baseline_win_rate_1_day,baseline_win_rate_5_day,baseline_win_rate_10_day,excess_1_day_return,excess_5_day_return,excess_10_day_return,excess_1_day_win_rate,excess_5_day_win_rate,excess_10_day_win_rate
COIN,55,6.0,-0.04285373734266221,2.092808695669413,-0.09292318864427843,47.27272727272727,45.45454545454545,43.63636363636363,1225,0.07717051516206748,0.546981790448635,1.0830771308475817,48.0,47.10204081632653,48.08163265306122,-0.12002425250472969,1.5458269052207778,-1.1760003194918602,-0.7272727272727266,-1.6474953617810755,-4.445269016697587
AMZN,55,6.0,0.24222214403713982,1.4428224727101215,1.8029513589772552,54.54545454545454,65.45454545454545,61.81818181818181,1225,0.005327416192769412,0.23460420935564635,0.5282491591142824,50.44897959183674,52.57142857142857,55.42857142857143,0.2368947278443704,1.2082182633544751,1.2747021998629728,4.0964749536178005,12.883116883116884,6.389610389610382
INTC,56,6.0,0.30608118031905546,1.7186963837121156,1.2476381319001901,55.35714285714286,53.57142857142857,50.0,1225,0.054132459376211084,0.5697714748849162,1.2354388526956341,49.306122448979586,49.142857142857146,50.28571428571429,0.2519487209428444,1.1489249088271993,0.01219927920455599,6.051020408163275,4.4285714285714235,-0.2857142857142918
NFLX,45,6.0,-0.12777040103316903,1.1114562467200593,1.733379864343272,48.888888888888886,57.77777777777777,57.77777777777777,1225,0.039625439146845194,0.33550563274457385,0.6833117064566558,50.857142857142854,52.244897959183675,52.89795918367347,-0.16739584018001422,0.7759506139754855,1.0500681578866162,-1.9682539682539684,5.532879818594097,4.8798185941043
GOOGL,52,6.0,-0.08954513152405731,1.0449047340131714,1.00403396595567,48.07692307692308,57.692307692307686,63.46153846153846,1225,0.08230609949303384,0.47815808474723903,0.9526663030654738,53.63265306122449,54.53061224489796,57.55102040816327,-0.17185123101709116,0.5667466492659323,0.05136766289019623,-5.555729984301408,3.161695447409727,5.910518053375192
AAPL,55,6.0,0.3006352581042444,0.337077054218252,1.5173127575939558,65.45454545454545,58.18181818181818,67.27272727272727,1225,0.10730969557365244,0.4173916486716087,0.8038704497688957,54.122448979591844,55.02040816326531,57.46938775510204,0.19332556253059197,-0.0803145944533567,0.7134423078250601,11.332096474953609,3.1614100185528713,9.803339517625226
AVGO,70,6.0,-0.15190960064232278,0.6649866369901731,2.116775159188711,44.285714285714285,54.285714285714285,60.0,1225,0.02672370905496336,0.8786455321447174,1.9449706433421148,49.46938775510204,56.24489795918367,58.77551020408164,-0.17863330969728614,-0.21365889515454428,0.1718045158465964,-5.183673469387756,-1.9591836734693828,1.224489795918359
MSFT,47,6.0,0.18024327820951927,-0.572346595115934,-0.4832321316156589,51.06382978723404,51.06382978723404,48.93617021276596,1225,0.009745029503063227,0.1656586372899073,0.34348745064120517,51.83673469387755,53.87755102040816,53.79591836734694,0.17049824870645605,-0.7380052324058413,-0.826719582256864,-0.772904906643511,-2.813721233174121,-4.859748154580984
META,28,6.0,-0.16578778583466222,-0.4902623449102647,0.5575492232112098,46.42857142857143,57.14285714285714,64.28571428571429,1218,0.04865617562063648,0.38185195671125693,0.8469572065587335,51.06732348111659,53.94088669950739,54.51559934318555,-0.2144439614552987,-0.8721143016215216,-0.2894079833475237,-4.638752052545158,3.201970443349751,9.770114942528743
PLTR,53,6.0,1.0131549670887934,0.14720519563269385,1.1295104662582383,60.37735849056604,43.39622641509434,54.71698113207547,1225,0.1654200695322896,1.0776620483575712,2.1778909701624385,51.51020408163265,53.38775510204081,53.55102040816326,0.8477348975565038,-0.9304568527248773,-1.0483805039042002,8.867154408933388,-9.991528686946474,1.1659607239122067
AMD,48,6.0,-0.4194170934911849,-0.2661224350022574,0.9285245250180503,37.5,47.91666666666667,45.83333333333333,1225,0.05476353925871105,0.8069822447374495,1.7970654864689135,50.44897959183674,53.63265306122449,51.34693877551021,-0.47418063274989597,-1.073104679739707,-0.8685409614508632,-12.94897959183674,-5.715986394557817,-5.513605442176882
TSLA,56,6.0,-0.0770203990468258,-0.606232025358645,0.3189615147729746,50.0,35.714285714285715,50.0,1225,0.03340859864582114,0.4957946559025885,1.1129803097820623,50.61224489795918,50.12244897959184,50.775510204081634,-0.11042899769264694,-1.1020266812612334,-0.7940187950090878,-0.6122448979591795,-14.408163265306122,-0.775510204081634
QCOM,51,6.0,-0.5179784019406753,-1.1327021109593134,-0.9798293808810786,39.21568627450981,49.01960784313725,47.05882352941176,1225,0.025118454362101462,0.26224170581063944,0.5609578608331732,50.775510204081634,51.34693877551021,49.142857142857146,-0.5430968563027768,-1.3949438167699528,-1.5407872417142519,-11.559823929571827,-2.327330932372959,-2.084033613445385
NVDA,53,6.0,0.5038423009681915,-0.8420376476072011,0.9697536175948096,60.37735849056604,45.28301886792453,50.943396226415096,1225,0.0857060786296266,1.0354047103191428,2.2281876965042753,52.408163265306115,56.6530612244898,57.55102040816327,0.4181362223385649,-1.877442357926344,-1.2584340789094657,7.969195225259924,-11.370042356565264,-6.607624181748172
SOFI,60,6.0,0.02697823205345969,-3.0367767618227237,-2.9004160470276252,46.666666666666664,43.333333333333336,41.66666666666667,1225,-0.03637156779119083,0.3912723199881463,0.8772192374845063,48.734693877551024,50.36734693877551,50.28571428571429,0.06334979984465051,-3.42804908181087,-3.7776352845121313,-2.0680272108843596,-7.034013605442176,-8.61904761904762
